recordId,Title,type of object,Category,Person / organisation - Role,Date / Period,Place,Association,Material /Technique,Accession number,Museum department,object_url
471432,Attic black-figure pottery amphora depicting a Dionysiac scene,container > vessel > storage vessel > amphora > neck-amphora,ceramics, - ,"515 BCE - 500 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1960.540,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471432
454504,Attic red-figure pottery skyphos depicting a scene of daily life,container > vessel > cup > drinking-cup > skyphos,ceramics,The Marlay Painter - artist,"420 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1969.227,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-454504
455411,Attic red-figure pottery chous depicting a scene of daily life,container > vessel > jug > wine-jug > oinochoe,ceramics,,"415 BCE - 400 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1966.880,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455411
455412,Attic red-figure pottery chous depicting a scene of daily life,container > vessel > jug > wine-jug > oinochoe,ceramics,,"415 BCE - 400 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Greece > South Aegean > Rhodes > Rhodes, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1966.879,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455412
455074,Attic red-figure pottery pelike depicting a mythological scene,container > vessel > storage vessel > pelike,ceramics,,"480 BCE - 470 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1966.852,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455074
450095,Attic red-figure pottery chous,container > vessel > jug > wine-jug > oinochoe,ceramics,,"415 BCE - 400 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1951.109,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-450095
452981,Attic black-figure stemmed pottery cup depicting an animal frieze,container > vessel > cup > drinking-cup > stemmed cup > kylix > little master cup > cassel cup,ceramics,,"550 BCE - 530 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1885.655,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-452981
593550,Attic black-figure white ground pottery lekythos depicting a religious procession,container > oil-container > perfume bottle > unguent jar > lekythos,ceramics,,"480 BCE - 470 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1999.150,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-593550
593591,Attic black-figure pottery stemmed cup,"container > vessel > cup > drinking-cup > stemmed cup > kylix > little master cup > lip cup, container > vessel > cup > drinking-cup > stemmed cup > kylix > little master cup",ceramics,,"550 BCE - 540 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted",AN1999.142,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-593591
520249,Attic red-figure pottery unguent jar depicting a domestic scene,container > oil-container > perfume bottle > unguent jar > aryballos,ceramics,,"400 BCE - 380 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Greece, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1934.343,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-520249
