object_id,title,description,date_created,artist_maker,materials_techniques,dimensions,department,acquisition,period,culture,provenance,references,location,url
69109,Amphora: GR.10.1932,"Amphora, Type B, (A) Herakles mounting chariot, Athena, (B) Dionysos, Ariadne, satyrs",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69109
68899,Cup: GR.29.1924,"Cup, (A) discus thrower, warriors jumping (B) warriors, youth with horse, bull head, ivy leaves (I) long jumper, trainer",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68899
65795,Alabastron: GR.41.1865,"Alabastron, griffin-bird",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65795
68674,Pelike: GR.13.1917,"Pelike, (A) Theseus and Sinis, tree (B) draped youths",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68674
68671,Calyx krater: GR.10.1917,"Calyx-krater, (A) maenad with torch, Dionysos with thyrsos, satyr (B) youths, with staffs",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68671
68668,Skyphos: GR.7.1917,"Skyphos, owl between olive sprigs",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68668
68669,"Amphora, black-figure technique: GR.8.1917","(A) Aeneas, armed with shield and helmet, carrying Anchises on his back, flanked by two female figures and followed by an 'Oriental' archer, perhaps intended as a Trojan. (B) Dionysos, carrying a kantharos and vine branch, flanked by two maenads and followed by a satyr; more vine branches in the field.",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68669
68680,Neck-amphora: GR.19.1917,"Neck-amphora, (A) Gigantomachy with Athena, (B) Dionysos",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68680
67150,Lekythos: GR.64.1896,"Lekythos, warriors, swans",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67150
67128,Pyxis: GR.43.1896,"Pyxis, horses",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67128
67123,Alabastron: GR.38.1896,"Alabastron, panther-bird",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67123
67092,Lekanis: GR.16.1896,Lekanis,,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67092
67090,Lekanis: GR.13.1896,"Lekanis, Eros, woman",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67090
67089,Kantharos: GR.12.1896,"Kantharos, woman's head",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67089
67088,Fish-plate: GR.11a.1896,Fishplate,,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67088
67077,Pelike: GR.5a.1896,"Pelike, Eros chasing woman",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67077
66048,Pyxis: GR.26.1885,"Pyxis, with women",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/66048
66043,Lekythos: GR.21.1885,"Lekythos, with armed youth seated at tomb, woman bringing offerings",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/66043
65813,Amphora: GR.61.1865,"Nolan amphora, with Dionysos and maenad",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65813
65801,Pelike: GR.47.1865,"Pelike, with youth, Eros and woman",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65801
65797,Plate: GR.43.1865,"Plate, with animal friezes",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65797
65707,Oinochoe: GR.125.1864,"Oinochoe, male revellers with goat and maenads",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65707
65697,Lekythos: GR.116.1864,"Lekythos, hunter",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65697
65694,Lekythos: GR.113.1864,"Lekythos, woman at tomb",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65694
65628,Lip cup: GR.47.1864,"Lip cup, Little Master, I, sphinx, A-B, signatures",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65628
65627,Lip cup: GR.46.1864,"Lip cup, Little Master, I, rider and hare, A, cattle, inscription, B, bull and panthers, inscription",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65627
65621,Eye cup: GR.40.1864,"Eye-cup, horseman between eyes, ivy, (I) gorgoneion",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65621
65615,Hydria: GR.34.1864,"Hydria, Athena slaying Enkelados, departure of chariot",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65615
65613,Neck-amphora: GR.32.1864,"Neck-amphora, (A) warrior and two Scythians departing, (B) chariot",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65613
65612,Black-figured amphora with a wheeling chariot: GR.31.1864,"Neck-amphora, warrior's departure, chariot",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65612
65611,Neck-amphora: GR.30.1864,"Neck-amphora, (A) Herakles and amazonomachy: Herakles fights three Amazons, (B) youths with horse: youth carrying two spears stands behind horse, flanked by two other youths; graffiti (incised) below foot.",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65611
65609,Neck-amphora: GR.28.1864,"Neck-amphora, with Poseidon and the giants, Herakles and Keryneian deer",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65609
68673,Hydria: GR.12.1917,"Hydria, Medea",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68673
65617,Hydria: GR.36.1864,"Hydria, Herakles and Erymanthian boar",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65617
