url,title,museum_number
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41172,White ground lekythos,NM49.6
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38816,Attic red figure hydria,NM54.3
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38438,Campanian hydria,NM71.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37659,Attic black figure neck-amphora,NM98.20
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37981,Attic red figure column krater,NM98.30
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38795,Attic black figure amphora,NM77.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41095,Attic white ground lekythos,NM41.3
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38592,Attic black figure amphora,NM98.19
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37979,Detailed Object Record,NM48.259
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37996,Apulian red figure bell krater,NM88.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38591,Attic amphora,NM98.18
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38832,Apulian red figure oinochoe,NM46.47
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.36427,Detailed Object Record,NM46.53
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38442,Campanian bail amphora,NM46.54
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38785,Attic black figure lekythos,NM46.52
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38440,Detailed Object Record,NM46.55
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38784,Attic black figure skyphos,NM46.44
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33264,Sicilian bell krater,NM46.45
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38800,Kylix,NM48.256
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38676,Paestan Bell Krater,NM47.4
